threshold	PC	covariate	covariate_class	pearson_r	spearman_rho	abs_pearson
10	PC1	log_total_tax_abund_tad	technical	0.161616843911282	0.105424704513442	0.161616843911282
10	PC1	total_tax_abund_tad	technical	0.190514035631579	0.105424704513442	0.190514035631579
10	PC1	detected_taxa_tad	technical	0.449632529203411	0.255489172323057	0.449632529203411
10	PC1	log_total_n_reads	technical	0.207859274469445	0.115230440872444	0.207859274469445
10	PC1	total_n_reads	technical	0.158722090889107	0.115230440872444	0.158722090889107
10	PC1	log_total_n_reads_tad	technical	0.158343980298116	0.0977990079000551	0.158343980298116
10	PC1	library_concentration	technical	0.283323867850482	0.271795543253402	0.283323867850482
10	PC1	avg_leng_initial	technical	0.080629095662075	0.211336326796266	0.080629095662075
10	PC1	avg_len_derep	technical	0.0976055441400707	0.189694236561505	0.0976055441400707
10	PC1	age_kyr	biological_proxy	-0.286089280689495	-0.38954115632576	0.286089280689495
10	PC1	mis	biological_proxy	0.545507056091063	0.656926534700713	0.545507056091063
10	PC1	sst	biological_proxy	-0.0851400669104457	-0.00685897814732644	0.0851400669104457
10	PC2	log_total_tax_abund_tad	technical	0.628957744088099	0.814289913650561	0.628957744088099
10	PC2	total_tax_abund_tad	technical	0.522146068097715	0.814289913650561	0.522146068097715
10	PC2	detected_taxa_tad	technical	0.662939124091576	0.87604645089324	0.662939124091576
10	PC2	log_total_n_reads	technical	0.719225943908755	0.7995334183456	0.719225943908755
10	PC2	total_n_reads	technical	0.54278992331192	0.7995334183456	0.54278992331192
10	PC2	log_total_n_reads_tad	technical	0.618627731207533	0.79225427154143	0.618627731207533
10	PC2	library_concentration	technical	0.556197160639744	0.678211706596218	0.556197160639744
10	PC2	avg_leng_initial	technical	0.317973040060355	0.383161886452666	0.317973040060355
10	PC2	avg_len_derep	technical	0.226905418877214	0.311420221163264	0.226905418877214
10	PC2	age_kyr	biological_proxy	-0.326303504298404	-0.40755397248073	0.326303504298404
10	PC2	mis	biological_proxy	0.0912437463199066	0.158476033102003	0.0912437463199066
10	PC2	sst	biological_proxy	-0.196694187165145	-0.119535061334755	0.196694187165145
10	PC3	log_total_tax_abund_tad	technical	-0.272488952802865	-0.269504562434932	0.272488952802865
10	PC3	total_tax_abund_tad	technical	-0.101850227409574	-0.269504562434932	0.101850227409574
10	PC3	detected_taxa_tad	technical	0.146847094804536	-0.120793562490575	0.146847094804536
10	PC3	log_total_n_reads	technical	-0.31011118523773	-0.336658347455788	0.31011118523773
10	PC3	total_n_reads	technical	-0.230543673619497	-0.336658347455788	0.230543673619497
10	PC3	log_total_n_reads_tad	technical	-0.299831780435482	-0.327675914018005	0.299831780435482
10	PC3	library_concentration	technical	0.011247510810199	-0.104926043174272	0.011247510810199
10	PC3	avg_leng_initial	technical	0.447768070488434	0.373325297818352	0.447768070488434
10	PC3	avg_len_derep	technical	0.397931943549067	0.39765756623477	0.397931943549067
10	PC3	age_kyr	biological_proxy	0.0155750579965754	0.0405534825005766	0.0155750579965754
10	PC3	mis	biological_proxy	0.0682556247067983	0.0309661659222335	0.0682556247067983
10	PC3	sst	biological_proxy	-0.012491134144679	-0.103600482186616	0.012491134144679
10	PC4	log_total_tax_abund_tad	technical	-0.0969845303620194	-0.132938942984874	0.0969845303620194
10	PC4	total_tax_abund_tad	technical	-0.536362141817523	-0.132938942984874	0.536362141817523
10	PC4	detected_taxa_tad	technical	-0.361916033451878	-0.12883989155711	0.361916033451878
10	PC4	log_total_n_reads	technical	-0.19205102428234	-0.0843240967629155	0.19205102428234
10	PC4	total_n_reads	technical	-0.512836966934906	-0.0843240967629155	0.512836966934906
10	PC4	log_total_n_reads_tad	technical	-0.100987064581754	-0.123057137607937	0.100987064581754
10	PC4	library_concentration	technical	-0.183837714802778	-0.114988337894275	0.183837714802778
10	PC4	avg_leng_initial	technical	-0.29220803857329	-0.242216503889672	0.29220803857329
10	PC4	avg_len_derep	technical	-0.215112714521883	-0.222471445077887	0.215112714521883
10	PC4	age_kyr	biological_proxy	0.452039054223635	0.434084253799233	0.452039054223635
10	PC4	mis	biological_proxy	0.385383591381568	0.119782868548683	0.385383591381568
10	PC4	sst	biological_proxy	0.251074418520459	0.403970023983091	0.251074418520459
10	PC5	log_total_tax_abund_tad	technical	-0.099172327276213	0.0793618715169331	0.099172327276213
10	PC5	total_tax_abund_tad	technical	0.32411892908331	0.0793618715169331	0.32411892908331
10	PC5	detected_taxa_tad	technical	0.283404118216602	-0.0445209788784576	0.283404118216602
10	PC5	log_total_n_reads	technical	-0.0184409104716682	0.0809734704014752	0.0184409104716682
10	PC5	total_n_reads	technical	0.254010283414754	0.0809734704014752	0.254010283414754
10	PC5	log_total_n_reads_tad	technical	-0.0899187774512648	0.102748484291751	0.0899187774512648
10	PC5	library_concentration	technical	0.0974817187724043	-0.131797813623205	0.0974817187724043
10	PC5	avg_leng_initial	technical	-0.293987885587474	-0.289453438677289	0.293987885587474
10	PC5	avg_len_derep	technical	-0.221502322544176	-0.255572580199132	0.221502322544176
10	PC5	age_kyr	biological_proxy	0.385522158331796	0.39936410213118	0.385522158331796
10	PC5	mis	biological_proxy	-0.270086813167683	-0.304676676588555	0.270086813167683
10	PC5	sst	biological_proxy	0.0890453597143212	-0.0293797438733916	0.0890453597143212
