threshold	method	core_a	core_b	edge_intersection	edge_union	edge_jaccard	spectral_distance	spectral_similarity	super_weight
10	pearson	GeoB25202_R1	GeoB25202_R2	1248	4530	0.275496688741722	0.298360408880884	0.770202166640267	0.522849427690995
10	pearson	GeoB25202_R1	ST13	213	2915	0.0730703259005146	2.23604650848445	0.309019044497087	0.191044685198801
10	pearson	GeoB25202_R1	ST8	267	2993	0.0892081523554962	2.26856417231125	0.305944735144326	0.197576443749911
10	pearson	GeoB25202_R2	ST13	234	3650	0.0641095890410959	2.30103748040306	0.302935063881158	0.183522326461127
10	pearson	GeoB25202_R2	ST8	260	3756	0.0692225772097977	2.3307111931882	0.300236178400922	0.18472937780536
10	pearson	ST13	ST8	182	1184	0.153716216216216	0.301867318563083	0.768127431836706	0.460921824026461
10	bicor	GeoB25202_R1	GeoB25202_R2	10342	11994	0.862264465566116	0.611715700220464	0.620456821177092	0.741360643371604
10	bicor	GeoB25202_R1	ST13	1300	11684	0.111263266004793	1.63586160735703	0.379382588679494	0.245322927342143
10	bicor	GeoB25202_R1	ST8	10906	12679	0.860162473381181	0.118635317679742	0.893946386454333	0.877054429917757
10	bicor	GeoB25202_R2	ST13	1282	11226	0.1141991804739	1.69204423380793	0.371464921505204	0.242832050989552
10	bicor	GeoB25202_R2	ST8	10245	12864	0.796408582089552	0.595824808165643	0.626635201359899	0.711521891724726
10	bicor	ST13	ST8	1402	12355	0.113476325374342	1.67250794082315	0.37418036621137	0.243828345792856
10	spearman	GeoB25202_R1	GeoB25202_R2	5514	7575	0.727920792079208	0.161412782554286	0.861020315103393	0.7944705535913
10	spearman	GeoB25202_R1	ST13	1016	6989	0.145371297753613	1.79083455806766	0.358315757954634	0.251843527854123
10	spearman	GeoB25202_R1	ST8	3682	8252	0.446194861851672	0.755524315618944	0.569630389680721	0.507912625766197
10	spearman	GeoB25202_R2	ST13	928	6640	0.139759036144578	1.80950780833983	0.355934230555106	0.247846633349842
10	spearman	GeoB25202_R2	ST8	3341	8156	0.409637076998529	0.705928870516087	0.586190911756757	0.497913994377643
10	spearman	ST13	ST8	962	5451	0.176481379563383	1.57811945644747	0.387879621907804	0.282180500735594
10	mi_aracne	GeoB25202_R1	GeoB25202_R2	2873	5525	0.52	0.116481765665517	0.895670695888093	0.707835347944046
10	mi_aracne	GeoB25202_R1	ST13	149	4195	0.0355184743742551	1.45134532229032	0.407939261313739	0.221728867843997
10	mi_aracne	GeoB25202_R1	ST8	120	4169	0.0287838810266251	1.50875327457825	0.398604362626338	0.213694121826481
10	mi_aracne	GeoB25202_R2	ST13	148	4560	0.0324561403508772	1.51401200446455	0.39777057477217	0.215113357561524
10	mi_aracne	GeoB25202_R2	ST8	137	4516	0.0303365810451727	1.57127084393335	0.388912744201723	0.209624662623448
10	mi_aracne	ST13	ST8	26	573	0.0453752181500873	0.124161762028712	0.889551694228912	0.4674634561895
